z,cy,cx
912,2110.575,1457.249
944,2088.28,1484.921
976,2050.791,1498.284
1008,2002.702,1497.722
1040,1977.34,1507.905
1072,1943.935,1519.852
1104,1909.505,1530.091
1136,1901.308,1531.344
2256,1882.061,1607.327
2288,1881.77,1614.492
2320,1890.551,1625.814
2352,1906.014,1681.863
2384,1913.592,1694.363
2416,1924.261,1698.49
2448,1943.847,1742.193
2480,1948.815,1751.028
3600,2029.195,1935.624
3632,2020.943,1925.948
3664,2039.193,1942.293
3696,2008.248,1934.82
3728,2019.387,1947.075
3760,2026.777,1930.123
3792,2020.425,1927.328
3824,2023.371,1932.413
4944,2046.721,1957.228
4976,2046.569,1962.57
5008,2050.223,1966.494
5040,2055.119,1979.296
5072,2058.059,1972.823
5104,2067.249,1983.938
5136,2071.043,1986.905
5168,2076.13,1992.97
6288,2140.23,1954.682
6320,2137.017,1957.455
6352,2144.285,1962.055
6384,2148.793,1971.998
6416,2157.887,1978.66
6448,2164.763,1972.199
6480,2171.558,1975.675
6512,2172.341,1983.355
7632,2031.75,1972.379
7664,2017.592,1959.014
7696,2001.61,1957.445
7728,2002.969,1939.733
7760,1995.864,1933.972
7792,1992.801,1941.89
7824,1993.064,1912.095
7856,1986.759,1909.684
8976,1838.665,1750.804
9008,1816.357,1837.831
9040,1814.843,1809.033
9072,1838.711,1806.381
9104,1851.505,1821.89
9136,1853.314,1847.03
9168,1859.188,1821.269
9200,1867.226,1811.428
10320,1794.604,1657.923
10352,1791.454,1679.864
10384,1771.707,1684.883
10416,1783.254,1662.741
10448,1802.625,1629.316
10480,1796.489,1655.598
10512,1769.474,1652.972
10544,1741.542,1635.099
1136,1900.601,1532.165
1168,1865.88,1548.46
1200,1846.502,1552.962
1232,1822.337,1582.107
1264,1799.847,1578.104
1296,1773.336,1599.82
1328,1756.291,1605.633
1360,1726.627,1609.506
2480,1949.098,1750.581
2512,1963.358,1762.526
2544,1971.142,1784.554
2576,1977.825,1781.322
2608,1988.334,1768.787
2640,1988.954,1803.459
2672,1989.436,1798.99
2704,1992.901,1821.491
3824,2022.428,1933.091
3856,2023.462,1918.095
3888,2023.138,1946.859
3920,2026.926,1951.49
3952,2027.872,1961.365
3984,2033.729,1945.738
4016,2033.433,1950.622
4048,2054.145,1962.974
5168,2075.441,1992.984
5200,2075.671,1986.161
5232,2085.566,1981.439
5264,2084.626,1971.71
5296,2085.539,1977.789
5328,2090.781,1975.518
5360,2092.956,1973.012
5392,2097.77,1974.805
6512,2172.609,1983.342
6544,2175.919,1976.554
6576,2183.195,1970.075
6608,2185.092,1973.856
6640,2177.337,1982.066
6672,2178.872,1972.73
6704,2166.123,1967.107
6736,2174.723,1953.042
7856,1986.669,1908.654
7888,1988.178,1892.363
7920,1981.192,1907.245
7952,1963.787,1895.41
7984,1954.616,1869.376
8016,1937.723,1882.548
8048,1924.469,1860.625
8080,1918.065,1880.651
9200,1866.082,1811.004
9232,1869.271,1805.942
9264,1893.767,1829.623
9296,1919.749,1850.57
9328,1904.381,1793.06
9360,1907.525,1781.625
9392,1907.401,1780.401
9424,1920.521,1772.505
10544,1740.139,1634.266
10576,1738.922,1669.272
10608,1726.951,1688.854
10640,1747.702,1667.903
10672,1733.879,1646.215
10704,1745.071,1649.854
10736,1686.065,1681.314
10768,1652.439,1727.007
1360,1726.399,1609.442
1392,1723.094,1605.219
1424,1720.534,1612.323
1456,1725.841,1613.338
1488,1737.595,1627.625
1520,1738.686,1616.005
1552,1716.976,1594.897
1584,1719.366,1589.476
2704,1991.61,1820.532
2736,1986.977,1831.065
2768,1990.032,1833.746
2800,1992.15,1826.153
2832,1987.407,1838.743
2864,1998.474,1823.846
2896,2005.39,1847.786
2928,1992.248,1858.888
4048,2054.833,1962.251
4080,2043.447,1946.187
4112,2041.122,1948.975
4144,2041.271,1953.683
4176,2051.752,1931.172
4208,2053.718,1919.339
