z,y,x,plane,dz_to_plane,band,gap_vox,pre_repair_id,A_id,B_id,frac_A_in_pre,frac_B_in_pre,min_frac,r_vox,theta_deg,seam_deg,ct_empty_frac
10131,1822,2683,10128,3,10+,11.5,516468,1000418,1000081,1.0,1.0,1.0,1056.1,359.48,0.5,0.0
10253,1849,2694,10256,3,10+,20.0,516606,1000964,1000888,1.0,1.0,1.0,998.3,1.17,1.2,1e-05
10127,1585,2265,10128,1,10+,14.0,514620,1000403,1000053,1.0,0.983,0.983,684.1,338.87,21.1,0.0
10960,1475,2729,10960,0,0-2,1.0,602134,1000219,1000244,0.833,1.0,0.833,833.4,15.63,15.6,0.00206
1292,2335,2359,1296,4,0-2,1.0,86054,1000240,1000329,0.483,0.867,0.483,944.4,36.5,36.5,0.12891
10257,2185,2512,10256,1,2-4,2.0,549249,1000977,1000919,0.967,0.383,0.383,890.5,23.59,23.6,0.0
10196,1589,2031,10192,4,6-10,8.5,540057,1002685,1002650,0.4,0.35,0.35,426.2,325.43,34.6,1e-05
10159,1800,2088,10160,1,4-6,5.5,538896,1000769,1000863,0.517,0.333,0.333,421.3,355.25,4.8,0.0
10513,2328,2357,10512,1,0-2,1.0,583927,1000443,1001286,0.333,0.3,0.3,898.7,38.43,38.4,0.0
10163,2143,1723,10160,3,2-4,2.0,546833,1002451,1002401,0.533,0.267,0.267,313.0,79.9,79.9,0.0
10157,1817,2427,10160,3,2-4,3.0,371670,1001986,1002061,0.267,0.9,0.267,759.1,358.65,1.4,0.0
10163,1767,1662,10160,3,4-6,5.0,512815,1001913,1002033,0.783,0.25,0.25,68.1,264.86,95.1,0.0
10256,2383,2663,10256,0,0-2,1.5,555034,1001103,1001030,0.25,0.233,0.233,1114.7,29.82,29.8,0.04212
10286,1416,1173,10288,2,4-6,4.0,537705,1002677,1002656,0.217,0.35,0.217,647.3,217.05,142.9,0.0
10605,1606,487,10608,3,0-2,1.5,593166,1002715,1002475,0.233,0.217,0.217,1207.9,185.75,174.2,0.03309
10132,1419,1204,10128,4,10+,13.0,506156,1000493,1000545,0.217,0.417,0.217,590.9,224.29,135.7,0.0
1396,1614,1234,1392,4,0-2,1.0,77654,1001869,1001894,0.2,0.7,0.2,386.9,196.38,163.6,0.0
10127,1630,734,10128,1,2-4,3.0,535158,1002118,1001937,0.367,0.183,0.183,915.4,192.73,167.3,0.0
1202,1270,915,1200,2,0-2,1.0,71145,1000442,1000408,0.333,0.183,0.183,859.9,222.1,137.9,0.00936
10190,1959,2544,10192,2,10+,11.0,524606,1000572,1000586,0.183,0.55,0.183,873.4,8.44,8.4,0.0
10578,1288,2520,10576,2,0-2,1.0,562015,1001763,1001595,1.0,0.167,0.167,962.8,332.07,27.9,0.0
10194,1764,2194,10192,2,6-10,7.0,540075,1002627,1002664,0.15,0.433,0.15,518.3,352.59,7.4,0.0
10637,1819,2815,10640,3,0-2,1.0,602245,1000669,1000625,0.283,0.15,0.15,1149.3,3.56,3.6,0.21275
10163,1899,1445,10160,3,2-4,3.5,545796,1000710,1000760,0.15,0.383,0.15,232.1,163.96,164.0,0.0
10132,1927,636,10128,4,2-4,3.5,543243,1001311,1001553,0.733,0.15,0.15,995.5,174.5,174.5,0.0
10256,2009,2050,10256,0,10+,16.5,548054,1001181,1001261,0.867,0.133,0.133,397.4,26.99,27.0,0.0
10222,1382,814,10224,2,6-10,7.5,529011,1001115,1001008,0.133,0.25,0.133,983.0,206.74,153.3,0.0
10893,1802,1438,10896,3,0-2,1.0,637134,1002328,1002208,0.267,0.133,0.133,582.7,140.81,140.8,0.17685
10196,1473,2411,10192,4,2-4,3.5,540387,1000716,1000545,0.133,0.15,0.133,813.8,333.92,26.1,0.0
10898,1676,2080,10896,2,0-2,1.0,639413,1002822,1002902,0.117,0.95,0.117,308.0,51.84,51.8,0.0
10285,1692,1662,10288,3,4-6,4.5,538798,1002278,1002203,0.167,0.117,0.117,117.4,256.39,103.6,0.0
10256,1891,2562,10256,0,10+,34.0,549865,1002443,1002289,0.1,0.183,0.1,868.3,4.12,4.1,0.0
10291,2142,1426,10288,3,10+,12.0,544528,1001817,1001614,0.1,0.15,0.1,427.0,128.12,128.1,0.0
10287,2073,2405,10288,1,2-4,3.5,549317,1001189,1001206,0.083,0.267,0.083,763.6,20.46,20.5,0.0
10287,1543,2956,10288,1,2-4,3.0,541673,1001801,1001829,0.25,0.067,0.067,1293.4,348.27,11.7,1e-05
10255,1607,2415,10256,1,4-6,4.0,540648,1001043,1000910,0.067,0.067,0.067,752.5,342.87,17.1,0.0
10284,2173,2099,10288,4,2-4,3.5,547991,1001081,1001396,0.933,0.067,0.067,549.8,41.87,41.9,0.0
10127,2233,1244,10128,1,0-2,1.0,483359,1000342,1000164,0.05,1.0,0.05,554.7,133.66,133.7,0.0
10127,1157,915,10128,1,0-2,1.0,505247,1000912,1001110,0.15,0.05,0.05,980.8,223.46,136.5,0.10506
10289,1384,1722,10288,1,6-10,7.0,506931,1001408,1001459,0.15,0.05,0.05,423.3,274.39,85.6,0.0
10287,1772,3001,10288,1,6-10,8.0,541670,1002068,1001783,1.0,0.05,0.05,1311.8,358.51,1.5,0.05662
10254,2002,1538,10256,2,10+,18.5,546377,1002940,1001494,0.05,0.083,0.05,234.5,132.33,132.3,0.0
10292,1463,641,10288,4,2-4,3.5,536284,1003948,1003595,0.05,0.967,0.05,1103.3,198.12,161.9,0.0
10160,1778,337,10160,0,4-6,4.0,509011,1000664,1000599,0.033,0.283,0.033,1332.3,182.45,177.6,0.09442
10288,1495,456,10288,0,6-10,6.5,533953,1000362,1000374,0.45,0.033,0.033,1272.2,194.15,165.8,0.06695
10127,1431,794,10128,1,4-6,5.5,509819,1000583,1000026,0.233,0.033,0.033,924.3,205.69,154.3,0.0
10223,1386,2533,10224,1,6-10,7.0,533258,1000808,1000805,0.283,0.033,0.033,948.4,332.48,27.5,0.0
10223,1485,1478,10224,1,6-10,9.0,538022,1001218,1001198,0.033,0.033,0.033,401.1,237.77,122.2,0.0
10195,1917,1749,10192,3,2-4,2.0,547067,1002535,1002599,0.067,0.033,0.033,110.4,51.34,51.3,0.0
10253,1579,389,10256,3,4-6,5.5,533964,1000316,1000328,0.067,0.033,0.033,1330.5,190.82,169.2,0.12995
10348,2395,1933,10352,4,0-2,1.0,554835,1000916,1000918,0.983,0.033,0.033,654.5,67.25,67.2,0.0
10132,1709,1714,10128,4,6-10,7.5,513023,1000099,1000531,0.033,0.517,0.033,150.4,305.37,54.6,0.0
10124,1381,1595,10128,4,6-10,8.5,505676,1000270,1000449,0.033,0.083,0.033,451.8,265.94,94.1,0.0
10124,1809,1043,10128,4,10+,12.0,511168,1000309,1002015,0.033,0.217,0.033,584.4,182.22,177.8,1e-05
10672,1414,1047,10672,0,0-2,1.0,586435,1002414,1002924,0.017,0.8,0.017,679.3,208.09,151.9,0.0
10159,1562,1143,10160,1,2-4,3.0,536652,1000793,1000583,0.15,0.017,0.017,591.8,207.46,152.5,0.0
10161,1616,1432,10160,1,6-10,8.0,511049,1000788,1000527,0.033,0.017,0.017,321.9,222.83,137.2,0.0
10129,1638,547,10128,1,6-10,8.5,535170,1001901,1002232,0.017,0.15,0.017,1097.2,190.17,169.8,0.0
