instance_id,n_pts,n_k,kmin,kmax,gap,side_min
50397,869,12,57,77,9,231
50494,527,12,34,57,5,134
50789,3820,27,14,44,3,246
51455,55175,40,49,90,2,226
51596,292,5,56,63,2,64
51603,7762,32,50,102,10,229
52061,1206,12,38,52,3,69
52896,1588,16,57,75,2,47
52984,26247,30,48,80,3,66
53011,313,7,40,51,5,24
53026,202,6,39,46,2,16
53043,482,5,51,57,2,113
53044,52,3,36,41,3,8
53049,38,3,52,58,4,17
53052,245,4,44,61,14,55
53053,130,2,46,53,6,28
53057,126,5,49,56,3,31
53061,281,5,50,59,5,110
53068,50,2,40,45,4,20
53070,309,4,54,60,3,130
53073,1454,12,49,63,2,317
53075,154,4,38,52,11,14
53077,271,4,55,62,4,18
53079,260,6,48,62,5,51
53237,286,8,46,56,3,64
53245,952,11,46,60,2,216
53253,455,9,35,50,4,22
53264,250,5,46,59,5,63
53287,306,4,51,62,8,118
53292,62,3,46,50,2,3
53295,244,3,45,52,5,56
53301,380,2,50,54,3,40
53315,74,4,42,51,6,22
53327,182,2,44,50,5,86
53328,58,3,47,56,7,3
53334,159,5,49,59,6,57
53336,96,3,45,54,7,26
53338,130,4,40,49,6,45
53342,97,3,52,58,4,10
53344,3562,20,27,49,3,56
53345,789,14,48,70,5,53
53347,84,2,55,59,3,7
53351,913,11,42,56,4,160
53355,368,5,52,59,3,22
53356,109,4,36,48,6,18
53362,194,6,37,50,4,83
53366,182,5,54,61,2,23
53372,142,3,44,50,4,15
53373,89,6,47,57,5,8
53376,297,7,50,59,3,27
53377,94,5,60,70,6,14
53389,161,6,48,58,4,42
53396,133,3,51,58,5,4
53468,276,10,20,36,7,69
53474,233,9,20,30,2,61
53483,2182,15,22,45,8,140
53502,331,8,16,25,2,15
53510,329,10,23,38,5,86
53514,48,4,13,18,2,4
53515,115,2,19,23,3,17
53521,85,4,25,30,2,17
53522,220,10,14,30,5,11
53524,804,8,27,50,12,33
53527,61,3,16,22,4,24
53530,400,7,27,36,3,116
53532,78,4,25,31,3,19
53534,390,10,26,40,4,177
53538,251,4,19,25,3,5
53540,134,5,19,34,11,17
53541,152,8,16,26,3,71
53545,387,6,16,27,6,76
53546,172,5,35,45,5,38
53551,205,4,26,33,4,77
53554,110,5,25,38,7,22
53557,40,3,34,42,6,6
53562,179,7,16,26,4,40
53564,86,4,17,27,7,27
53695,66,2,30,35,4,32
53701,1317,11,35,48,3,164
53707,210,5,33,46,9,67
53710,132,4,36,44,5,65
53712,102,6,31,47,7,37
53715,52,2,30,33,2,5
53717,48,2,29,35,5,4
53722,231,4,36,45,6,47
53724,39,2,36,43,6,18
53738,223,9,17,28,2,47
53739,101,3,13,19,4,9
53741,152,4,20,29,6,11
53742,453,6,6,14,3,8
53743,173,3,6,12,4,33
53744,125,5,21,30,3,28
53757,341,9,20,34,3,79
53758,73,3,27,35,6,28
53761,78,4,33,43,7,23
53763,179,5,28,36,3,82
53764,3985,23,15,40,2,63
53765,8,2,38,43,4,3
53766,155,6,24,32,3,29
53770,195,5,28,37,5,24
53772,267,7,27,37,3,8
53776,70,2,33,43,9,3
53778,127,3,26,34,6,24
53783,495,13,15,34,5,197
53786,10190,24,19,45,3,346
53787,1402,15,30,56,11,107
53794,18,4,28,37,6,4
53803,226,4,24,32,5,15
53808,453,15,15,34,3,118
53809,1290,13,25,39,2,422
53820,7034,35,51,87,2,3246
53833,436,4,61,77,11,43
53838,2122,18,48,69,4,1041
53849,14604,31,52,85,3,122
53857,840,13,54,72,6,392
53858,72,6,55,70,10,34
53909,52,4,54,68,11,8
53910,2501,17,57,79,6,633
54191,928,14,39,65,9,26
54206,2102,14,29,47,3,50
54251,2870,19,35,55,2,116
54253,1438,21,29,55,3,183
54385,40,5,49,58,5,8
54496,717,11,33,46,2,41
54518,248,7,40,51,5,87
54524,401,7,44,55,5,57
54532,2011,18,46,69,5,731
54538,5405,30,36,68,3,83
54553,350,6,48,60,7,11
54557,769,14,44,67,5,238
54568,128,5,42,59,12,59
54571,1427,21,29,51,2,247
54575,131,3,35,47,10,32
54579,866,13,30,48,2,373
54601,363,8,35,55,5,101
54608,735,6,51,60,4,178
54614,180,5,59,65,2,64
54617,2088,20,58,83,3,254
54619,43,4,62,72,7,18
54620,298,5,35,52,13,7
54628,214,7,36,51,9,105
54635,631,9,52,64,3,116
54640,124,3,50,60,8,3
54642,633,12,31,51,6,187
54645,291,9,39,50,2,103
54654,190,8,38,59,12,41
54660,135,4,35,52,5,12
54661,39,2,35,50,14,9
54664,270,7,48,58,4,55
54668,269,6,35,57,12,132
54677,183,4,50,60,7,22
54685,170,7,45,64,7,63
55588,1148,11,36,58,12,118
55645,237,5,51,60,3,82
55649,69,4,55,66,8,25
55656,250,5,52,63,7,57
55663,227,6,38,57,14,62
55678,147,5,36,55,15,11
55682,150,2,52,59,6,54
55691,90,3,45,53,6,18
55861,886,11,22,34,2,58
55918,2675,15,25,41,2,27
55954,1004,11,17,30,3,322
55957,3880,25,19,45,2,74
55959,97,2,29,33,3,44
56385,369,8,18,31,2,148
56392,1996,14,16,31,2,57
56400,36,3,12,18,4,12
56404,210,5,17,26,3,76
56406,665,9,18,28,2,81
56407,41,4,13,18,2,4
56420,1058,9,3,14,3,77
56453,583,8,12,25,5,100
56458,169,5,2,10,3,25
56464,379,8,1,13,5,146
56469,171,3,17,24,5,22
56477,264,2,18,22,3,18
56480,661,19,0,20,2,123
56482,398,12,2,20,6,37
56745,1169,16,9,26,2,175
56775,109,5,14,24,6,47
56784,183,9,11,23,2,71
56794,1770,15,17,35,4,173
56831,257,7,16,27,3,100
56972,3088,15,36,53,3,34
57045,133,2,31,36,4,43
57064,997,14,40,59,6,24
57065,127,3,49,56,5,24
57098,83,4,27,37,7,5
57108,1542,17,45,63,2,199
57118,243,9,28,39,3,40
57119,1737,18,54,75,3,625
57123,270,5,35,49,9,63
57127,103,3,48,53,3,40
57128,862,14,56,78,4,325
57141,68,3,49,56,5,33
57142,2071,21,57,80,2,959
57143,456,10,37,55,4,88
57144,318,7,25,42,7,102
57148,409,5,47,54,3,160
57149,1170,12,22,41,5,477
57150,1483,15,18,36,4,345
57154,790,8,44,55,4,35
57166,111,3,20,35,13,36
57168,646,10,30,41,2,215
57178,230,3,22,37,13,57
57179,560,11,16,32,4,148
57184,307,9,49,59,2,137
57185,237,6,40,55,4,54
