source,source_row,z,y,x,theta_deg,winding,dk,ct_brightness,conf,pre_repair_global_id,labeled_frac_5cube
unlab,8720,3152,1342,2066,288.0,47,1,163,,172092,1.0
unlab,8831,2704,1991,474,180.0,58,1,161,,139968,1.0
wedge,1675,5264,1666,1032,204.0,75,,,1,322330,1.0
wedge,3510,10928,1045,1054,198.0,47,,,1,626898,1.0
wedge,3614,11184,1818,186,168.0,16,,,1,655551,1.0
wedge,3615,11184,1819,180,168.0,17,,,1,655551,1.0
unlab,5384,9168,1730,1912,306.0,9,1,204,,442680,0.992
wedge,1562,4880,1932,896,186.0,72,,,1,281835,0.992
wedge,1919,5936,2133,812,180.0,60,,,1,343240,0.992
wedge,2176,6704,1836,1226,204.0,57,,,1,223883,0.992
wedge,3237,10320,2519,1132,126.0,69,,,1,551522,0.992
wedge,1943,6032,2131,851,180.0,58,,,1,343240,0.984
wedge,2139,6640,2177,3179,0.0,53,,,1,367923,0.984
wedge,2224,6928,2148,899,180.0,58,,,1,371753,0.984
unlab,2315,11088,973,2084,252.0,5,1,132,,650167,0.976
unlab,1633,10960,1215,1971,324.0,4,1,158,,629571,0.968
unlab,8794,3600,1286,1393,234.0,55,1,160,,206509,0.968
unlab,189,3088,2043,1776,180.0,2,1,144,,181142,0.944
unlab,8546,8976,2133,1533,126.0,32,1,130,,448400,0.944
wedge,959,3344,1416,2138,294.0,53,,,1,188911,0.944
unlab,2504,8592,1788,1876,324.0,5,1,227,,431370,0.936
unlab,899,3408,2005,1916,324.0,3,1,130,,201656,0.928
unlab,1573,3728,1957,1988,306.0,4,1,151,,241178,0.92
unlab,2442,3728,1952,1992,306.0,5,1,153,,241178,0.92
wedge,1069,3600,1568,2447,318.0,43,,,1,216567,0.92
wedge,1184,3888,1375,1227,222.0,67,,,1,249214,0.912
unlab,486,3024,2077,1892,66.0,3,1,145,,183798,0.904
unlab,913,4304,2011,1970,330.0,3,1,150,,286481,0.896
unlab,2440,2960,1947,1898,306.0,5,1,162,,183256,0.896
unlab,2691,11152,994,2428,48.0,6,2,131,,655513,0.896
unlab,3677,9936,1932,1626,114.0,7,2,255,,523442,0.896
unlab,5554,1808,1830,1614,78.0,10,1,162,,63448,0.896
