path,slab,tile,z0,y0,x0,win_lo_z,win_lo_y,win_lo_x,win_hi_z,win_hi_y,win_hi_x,clamped,n_vox,n_pred,n_lab,n_pred_and_lab,n_pred_near_lab,coverage_strict,coverage_near4,reverse_strict,status
z0/tile_y0_x1344.npz,z0,tile_y0_x1344,0,0,1344,64,192,1536,192,320,1664,0,2097152,810788,24232,24232,24318,0.029887,0.029993,1.0,ok
z0/tile_y0_x1792.npz,z0,tile_y0_x1792,0,0,1792,64,192,1984,192,320,2112,0,2097152,810054,23546,23546,23611,0.029067,0.029147,1.0,ok
z0/tile_y0_x2240.npz,z0,tile_y0_x2240,0,0,2240,64,192,2432,192,320,2560,0,2097152,806204,19473,19473,19655,0.024154,0.02438,1.0,ok
z0/tile_y0_x896.npz,z0,tile_y0_x896,0,0,896,64,192,1088,192,320,1216,0,2097152,804794,17760,17760,18292,0.022068,0.022729,1.0,ok
z0/tile_y1344_x0.npz,z0,tile_y1344_x0,0,1344,0,64,1536,192,192,1664,320,0,2097152,271986,269033,269033,271883,0.989143,0.999621,1.0,ok
z0/tile_y1344_x1344.npz,z0,tile_y1344_x1344,0,1344,1344,64,1536,1536,192,1664,1664,0,2097152,199478,176080,176080,198106,0.882704,0.993122,1.0,ok
z0/tile_y1344_x1792.npz,z0,tile_y1344_x1792,0,1344,1792,64,1536,1984,192,1664,2112,0,2097152,78973,78378,78378,78969,0.992466,0.999949,1.0,ok
z0/tile_y1344_x2240.npz,z0,tile_y1344_x2240,0,1344,2240,64,1536,2432,192,1664,2560,0,2097152,349365,53377,53377,65412,0.152783,0.187231,1.0,ok
z0/tile_y1344_x2688.npz,z0,tile_y1344_x2688,0,1344,2688,64,1536,2880,192,1664,3008,0,2097152,983847,196703,196703,197292,0.199933,0.200531,1.0,ok
z0/tile_y1344_x3136.npz,z0,tile_y1344_x3136,0,1344,3136,64,1536,3328,192,1664,3456,0,2097152,977727,200058,200058,209701,0.204615,0.214478,1.0,ok
z0/tile_y1344_x3584.npz,z0,tile_y1344_x3584,0,1344,3584,64,1536,3776,192,1664,3797,1,344064,130454,1191,1191,1191,0.00913,0.00913,1.0,ok
z0/tile_y1344_x448.npz,z0,tile_y1344_x448,0,1344,448,64,1536,640,192,1664,768,0,2097152,433317,410744,410744,429135,0.947906,0.990349,1.0,ok
z0/tile_y1344_x896.npz,z0,tile_y1344_x896,0,1344,896,64,1536,1088,192,1664,1216,0,2097152,318780,284586,284586,309237,0.892735,0.970064,1.0,ok
z0/tile_y1792_x0.npz,z0,tile_y1792_x0,0,1792,0,64,1984,192,192,2112,320,0,2097152,113131,103408,103408,111590,0.914055,0.986379,1.0,ok
z0/tile_y1792_x1344.npz,z0,tile_y1792_x1344,0,1792,1344,64,1984,1536,192,2112,1664,0,2097152,792143,4580,4580,4724,0.005782,0.005964,1.0,ok
z0/tile_y1792_x1792.npz,z0,tile_y1792_x1792,0,1792,1792,64,1984,1984,192,2112,2112,0,2097152,527304,436959,436959,525219,0.828666,0.996046,1.0,ok
z0/tile_y1792_x2240.npz,z0,tile_y1792_x2240,0,1792,2240,64,1984,2432,192,2112,2560,0,2097152,130906,119176,119176,130553,0.910394,0.997303,1.0,ok
z0/tile_y1792_x2688.npz,z0,tile_y1792_x2688,0,1792,2688,64,1984,2880,192,2112,3008,0,2097152,111163,105877,105877,111158,0.952448,0.999955,1.0,ok
z0/tile_y1792_x3136.npz,z0,tile_y1792_x3136,0,1792,3136,64,1984,3328,192,2112,3456,0,2097152,796603,777617,777617,795562,0.976166,0.998693,1.0,ok
z0/tile_y1792_x3584.npz,z0,tile_y1792_x3584,0,1792,3584,64,1984,3776,192,2112,3797,1,344064,25849,2317,2317,2622,0.089636,0.101435,1.0,ok
z0/tile_y1792_x448.npz,z0,tile_y1792_x448,0,1792,448,64,1984,640,192,2112,768,0,2097152,789093,2513,2513,2553,0.003185,0.003235,1.0,ok
z0/tile_y1792_x896.npz,z0,tile_y1792_x896,0,1792,896,64,1984,1088,192,2112,1216,0,2097152,792644,4296,4296,4500,0.00542,0.005677,1.0,ok
z0/tile_y2240_x0.npz,z0,tile_y2240_x0,0,2240,0,64,2432,192,192,2560,320,0,2097152,800324,12299,12299,13877,0.015368,0.017339,1.0,ok
z0/tile_y2240_x1344.npz,z0,tile_y2240_x1344,0,2240,1344,64,2432,1536,192,2560,1664,0,2097152,799834,10702,10702,11114,0.01338,0.013895,1.0,ok
z0/tile_y2240_x1792.npz,z0,tile_y2240_x1792,0,2240,1792,64,2432,1984,192,2560,2112,0,2097152,807317,19307,19307,20019,0.023915,0.024797,1.0,ok
z0/tile_y2240_x2240.npz,z0,tile_y2240_x2240,0,2240,2240,64,2432,2432,192,2560,2560,0,2097152,630686,598,598,664,0.000948,0.001053,1.0,ok
z0/tile_y2240_x2688.npz,z0,tile_y2240_x2688,0,2240,2688,64,2432,2880,192,2560,3008,0,2097152,574442,6376,6376,6652,0.011099,0.01158,1.0,ok
z0/tile_y2240_x3136.npz,z0,tile_y2240_x3136,0,2240,3136,64,2432,3328,192,2560,3456,0,2097152,812315,24936,24936,25882,0.030697,0.031862,1.0,ok
z0/tile_y2240_x448.npz,z0,tile_y2240_x448,0,2240,448,64,2432,640,192,2560,768,0,2097152,795927,2519,2519,2640,0.003165,0.003317,1.0,ok
z0/tile_y2240_x896.npz,z0,tile_y2240_x896,0,2240,896,64,2432,1088,192,2560,1216,0,2097152,804071,16999,16999,17389,0.021141,0.021626,1.0,ok
z0/tile_y2688_x1344.npz,z0,tile_y2688_x1344,0,2688,1344,64,2880,1536,192,3008,1664,0,2097152,793814,6920,6920,7095,0.008717,0.008938,1.0,ok
z0/tile_y2688_x1792.npz,z0,tile_y2688_x1792,0,2688,1792,64,2880,1984,192,3008,2112,0,2097152,803324,16295,16295,16415,0.020284,0.020434,1.0,ok
z0/tile_y2688_x2240.npz,z0,tile_y2688_x2240,0,2688,2240,64,2880,2432,192,3008,2560,0,2097152,806051,17095,17095,17289,0.021208,0.021449,1.0,ok
z0/tile_y2688_x2688.npz,z0,tile_y2688_x2688,0,2688,2688,64,2880,2880,192,3008,3008,0,2097152,810691,24038,24038,24248,0.029651,0.02991,1.0,ok
z0/tile_y2688_x3136.npz,z0,tile_y2688_x3136,0,2688,3136,64,2880,3328,192,3008,3456,0,2097152,810379,23533,23533,23930,0.029039,0.029529,1.0,ok
z0/tile_y2688_x448.npz,z0,tile_y2688_x448,0,2688,448,64,2880,640,192,3008,768,0,2097152,816900,30467,30467,30468,0.037296,0.037297,1.0,ok
z0/tile_y2688_x896.npz,z0,tile_y2688_x896,0,2688,896,64,2880,1088,192,3008,1216,0,2097152,794455,0,0,0,0.0,0.0,,ok
