path,group,zband,rthird,coverage_near4,n_pred_window,cube_lo_z,cube_lo_y,cube_lo_x,n_pos,n_pos_lab,n_pos_unlab,pos_mean,pos_std,lab_mean,lab_std,unlab_mean,unlab_std,neg_mean,neg_std,frac_zero_all,tex_rad,tex_z,rad_axis
z0/tile_y1344_x1344.npz,control,0,0,0.993122,199478,64,1568,1568,25916,25423,493,157.01446982559037,24.801128724811544,159.4071903394564,15.64290819712575,33.62677484787018,64.77555768475648,18.414789948693635,51.269429198921046,0.7985916137695312,0.9632659361012502,0.900679117147708,y
z0/tile_y1792_x0.npz,control,0,2,0.986379,113131,64,1984,192,45219,40931,4288,128.87786107609634,45.70583728019343,141.7432019740539,21.729518903782104,6.072061567164179,29.350266393244514,29.328892474357495,58.40001382044389,0.6734657287597656,0.8193679647935602,0.888210707888277,x
z0/tile_y1792_x2688.npz,control,0,1,0.999955,111163,64,1984,2880,23036,21154,1882,98.79744747351971,51.48258483697585,107.55535596104755,44.08623040545477,0.357066950053135,6.561409861261714,10.995876340398482,36.68587074236299,0.8375091552734375,0.8072582045494009,0.8951640909880187,x
z10080/tile_y1344_x1792.npz,control,8,0,0.998956,657244,10176,1568,1984,93515,93036,479,132.27412714537775,28.66252330507296,132.292091233501,28.633462624574882,128.78496868475992,33.65571890449144,126.95436134947133,33.68828610484312,3.814697265625e-06,0.9524354381650003,0.9806768967545314,y
z11368/tile_y1792_x1792.npz,control,9,0,0.99204,482683,11456,1984,1984,80126,66228,13898,122.53982477597783,57.94791512102849,145.26943286827324,25.96272614961082,14.226651316736222,44.20240052791262,75.11412058148095,70.26206438382745,0.3295021057128906,0.7872850260839178,0.8165763921823128,y
z1344/tile_y896_x1792.npz,control,1,1,0.999252,636343,1440,1088,1984,64560,64190,370,112.54158921933086,28.063951113861748,112.51374045801526,28.08048582338291,117.37297297297297,24.557188066959668,112.02104927524496,27.072150363239015,0.0,0.9560408921933086,0.9788723667905824,y
z1792/tile_y1792_x1344.npz,control,1,0,0.999768,581567,1856,1984,1568,67414,67215,199,124.23673124276857,29.986840847219128,124.24735550100424,29.9896973227438,120.64824120603015,28.782443078549814,121.6170441123607,30.089580631540727,0.0,0.9170943720888837,0.9294211884771709,x
z2016/tile_y896_x1792.npz,control,1,1,0.99769,758301,2112,1088,1984,97748,97585,163,122.03072185620167,26.989407337405083,122.10333555361993,26.886933029703954,78.55828220858896,46.267705701863186,94.45136742986448,40.220833158667695,0.013275146484375,0.9773089986495888,0.975160617097025,y
z2464/tile_y1344_x1344.npz,control,2,0,0.999749,581085,2560,1568,1568,67893,67713,180,129.02864801967803,23.143442249928754,129.01181457031885,23.147046266539604,135.36111111111111,20.800310865435772,124.7955377321095,24.86948043893754,0.0,0.9823545873654133,0.9578454332552693,y
z2688/tile_y1344_x896.npz,control,2,1,0.999914,512669,2752,1568,1088,71531,71505,26,113.11752946275041,29.805917832390985,113.1173204671002,29.808533075802316,113.6923076923077,21.431050856838596,110.51518521821701,30.988264352220565,0.0,0.9326026478030505,0.9574310438830717,x
z3136/tile_y1344_x1792.npz,control,2,0,0.999283,819793,3232,1568,1984,110959,110703,256,119.65513387827936,24.95574311605631,119.64259324498884,24.969017927564753,125.078125,17.513436526974797,115.90114098620894,26.103196593443073,0.0,0.9306861092836093,0.9920961796699682,y
z3360/tile_y1344_x2240.npz,control,2,1,0.992423,518696,3456,1568,2464,117927,116899,1028,131.1154358204652,23.88554585282719,130.9651066305101,23.736078459332756,148.2101167315175,32.941325842099936,134.9568081432841,35.548483930587466,3.814697265625e-06,0.9622902303967709,0.9811917542208315,x
z3584/tile_y1344_x1344.npz,control,3,0,0.999439,705810,3648,1568,1568,80402,79983,419,119.41449217681152,21.72217752927782,119.41416300963955,21.734379721881556,119.47732696897374,19.251664194015888,116.43238216812844,23.506209648672,0.0,0.9324768040596005,0.9876246859530857,y
z3808/tile_y1792_x2688.npz,control,3,1,0.999813,358978,3904,1984,2880,72218,72119,99,97.77220360574925,32.28260565275928,97.78058486667868,32.286700624917266,91.66666666666667,28.49951266639874,96.91500900350663,33.84248087795642,0.0,0.9375501952421834,0.9545404192860506,x
z4256/tile_y1344_x1792.npz,control,3,0,0.999133,642405,4352,1568,1984,83007,82526,481,132.30687773320324,18.525279895300518,132.26562537866855,18.51989546941541,139.3846153846154,18.083764795428948,133.5197753674562,17.435411387762873,0.0,0.9686652932885178,0.9147662245352801,y
z4480/tile_y1344_x2240.npz,control,3,1,0.999588,527265,4544,1568,2464,58210,58084,126,112.66256656931799,24.509540521542355,112.64833689139867,24.51789854021573,119.22222222222223,19.201475178485175,107.44183412280444,27.335605692431805,0.0,0.958701254080055,0.9505583233121456,x
z4704/tile_y2240_x1344.npz,control,4,1,0.999575,531881,4800,2464,1568,68819,68688,131,124.56644240689344,23.23512758576737,124.57104588865595,23.24179887620765,122.1526717557252,19.27323551886237,119.36372429846114,23.397135642712485,0.0,0.967886775454453,0.9584853020241503,y
z5152/tile_y1344_x1344.npz,control,4,0,0.99992,527071,5248,1568,1568,65968,65947,21,104.35785532379336,30.774676645150283,104.34576250625503,30.76730140164451,142.33333333333334,30.493298769422598,101.77305072995678,30.578477003855703,0.0,0.9934362114964831,0.9362569730778559,y
z5376/tile_y2240_x448.npz,control,4,2,0.991988,236151,5440,2464,672,13217,12597,620,102.55209200272377,36.53724530763378,105.76732555370326,33.90790780764207,37.225806451612904,24.914705694298434,25.662354826917127,38.329952362719645,0.604156494140625,0.9455247030339714,0.647575092683665,x
z6496/tile_y2240_x2240.npz,control,5,1,1.0,528298,6592,2464,2464,65519,65519,0,116.06370671103039,22.74367888512121,116.06370671103039,22.74367888512121,,,108.43659249841068,24.403481218315108,0.0,0.9820967963491506,0.9358506692715091,y
z6720/tile_y1344_x1344.npz,control,5,0,0.991626,238839,6816,1568,1568,26724,25821,903,103.66281245322557,34.15505784600143,106.3934007203439,30.93841903920799,25.58250276854928,29.052471023725904,47.06269220966783,44.496904908676264,0.331451416015625,0.9582397844634036,0.8485630893578806,y
z6944/tile_y2240_x896.npz,control,6,1,0.999785,506244,7040,2464,1088,67054,67026,28,120.9207206132371,22.25704324149122,120.91797213021812,22.26006991052873,127.5,11.381375764191,117.80971859141934,21.298104831940254,0.0,0.909982998777105,0.9422405822173174,x
z7392/tile_y1344_x1792.npz,control,6,0,0.99782,539415,7488,1568,1984,81132,80931,201,114.55725237883942,26.250924593981505,114.56873138846672,26.240530672446415,109.93532338308458,29.788822171881197,113.16465759176187,26.676548117357722,0.0,0.9753611398708277,0.9645639205245772,y
z7392/tile_y2240_x448.npz,control,6,2,0.996384,378578,7488,2464,672,65899,64623,1276,113.89666004036481,33.560217557021566,115.16325456880678,32.2540597209134,49.75,35.831319048632444,92.26300287905424,42.469559631411435,0.034881591796875,0.9569189213796871,0.9103628279640055,x
z8512/tile_y1792_x896.npz,control,7,1,0.998778,578609,8608,1984,1088,68988,68835,153,131.9337565953499,25.0037746520264,131.92359991283504,24.96939339864559,136.5032679738562,37.11140694271856,128.30842427882126,27.88571665080422,0.0,0.9625007247637271,0.9542529135501826,x
z8736/tile_y1344_x1344.npz,control,7,0,0.999777,577502,8832,1568,1568,73256,73185,71,127.47540133231408,26.052909449169743,127.49104324656692,26.046684345101262,111.35211267605634,27.438072958013578,122.82695036211935,28.074360399147473,0.0,0.976384186960795,0.9530004368242875,y
z9184/tile_y1344_x896.npz,control,8,1,0.999981,526993,9280,1568,1088,77609,77502,107,121.11734463786416,24.672375879433893,121.12438388686743,24.671329995474274,116.01869158878505,24.901293480051372,114.72722789714689,24.44646035568168,0.0,0.9756342692213532,0.9646303908051901,x
z9632/tile_y1792_x1344.npz,control,8,0,0.999173,586161,9728,1984,1568,81709,81554,155,136.42526527065561,25.142890884469907,136.42333913725875,25.1521127586809,137.43870967741935,19.674802575873127,130.506370715216,28.10996239798917,0.0,0.9360046016962635,0.9729895115593141,x
z9856/tile_y1792_x2688.npz,control,8,1,0.999094,595849,9920,1984,2880,70350,69856,494,115.13685856432124,32.7205523518192,115.17972686669721,32.69285220732363,109.0748987854251,35.914547387633625,110.69864542165031,35.176368721361264,0.0,0.9421464108031272,0.986680881307747,x
z9856/tile_y1792_x448.npz,control,8,2,0.999572,747705,9920,1984,672,89157,88992,165,119.34079208587099,26.988012316391433,119.34396350233729,26.990360558452327,117.63030303030303,25.633128243437948,111.62066513668657,28.74318137411892,0.0,0.9345873010531983,0.9819195352019471,x
z0/tile_y0_x1344.npz,void,0,2,0.029993,810788,64,192,1568,6252,6171,,113.3328534868842,26.383831772464887,,,,,4.270004533162428,20.06529959064341,0.9259033203125,0.940978886756238,0.9024312220089571,y
z0/tile_y1792_x1344.npz,void,0,0,0.005964,792143,64,1984,1568,1592,1468,,106.58605527638191,24.69072784924713,,,,,5.8659730111455675,24.670212709740806,0.9375,0.9836683417085427,0.667713567839196,x
z0/tile_y2240_x448.npz,void,0,2,0.003317,795927,64,2464,672,1604,0,,92.75498753117208,24.796738660393718,,,,,8.754356336838873,29.15026272374359,0.90625,0.8927680798004988,0.7138403990024937,x
z0/tile_y3136_x1792.npz,void,0,2,0.043466,822317,64,3360,1984,9228,9189,,106.7397052449068,31.697969104346114,,,,,12.635562795552673,36.31420761577413,0.854644775390625,0.9317295188556567,0.9134156913740789,y
